mouse,session,geno,trial,result,,
Mouse14,2,Last20,188,1,,
Mouse14,2,Last20,189,1,,
Mouse14,2,Last20,190,1,,
Mouse14,2,Last20,191,0,,
Mouse14,2,Last20,192,0,,
Mouse14,3,First20,1,0,,
Mouse14,3,First20,2,0,,
Mouse14,3,First20,3,1,,
Mouse14,3,First20,4,1,,
Mouse14,3,First20,5,0,,
Mouse14,3,First20,6,0,,
Mouse14,3,First20,7,0,,
Mouse14,3,First20,8,1,,
Mouse14,3,First20,9,1,,
Mouse14,3,First20,10,1,,
Mouse14,3,First20,11,1,,
Mouse14,3,First20,12,0,,
Mouse14,3,First20,13,1,,
Mouse14,3,First20,14,1,,
Mouse14,3,First20,15,1,,
Mouse14,3,First20,16,1,,
Mouse14,3,First20,17,1,,
Mouse14,3,First20,18,1,,
Mouse14,3,First20,19,0,,
Mouse14,3,First20,20,1,,
Mouse14,3,Last20,209,1,,
Mouse14,3,Last20,210,1,,
Mouse14,3,Last20,211,0,,
Mouse14,3,Last20,212,1,,
Mouse14,3,Last20,213,0,,
Mouse14,3,Last20,214,1,,
Mouse14,3,Last20,215,0,,
Mouse14,3,Last20,216,0,,
Mouse14,3,Last20,217,0,,
Mouse14,3,Last20,218,1,,
Mouse14,3,Last20,219,0,,
Mouse14,3,Last20,220,0,,
Mouse14,3,Last20,221,0,,
Mouse14,3,Last20,222,0,,
Mouse14,3,Last20,223,1,,
Mouse14,3,Last20,224,1,,
Mouse14,3,Last20,225,0,,
Mouse14,3,Last20,226,1,,
Mouse14,3,Last20,227,0,,
Mouse14,3,Last20,228,1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
