mouse,session,geno,trial,result,,
Mouse9,2,Last20,217,1,,
Mouse9,2,Last20,218,1,,
Mouse9,2,Last20,219,1,,
Mouse9,2,Last20,220,1,,
Mouse9,2,Last20,221,1,,
Mouse9,2,Last20,222,1,,
Mouse9,2,Last20,223,0,,
Mouse9,2,Last20,224,0,,
Mouse9,2,Last20,225,0,,
Mouse9,2,Last20,226,1,,
Mouse9,2,Last20,227,1,,
Mouse9,2,Last20,228,0,,
Mouse9,2,Last20,229,1,,
Mouse9,2,Last20,230,1,,
Mouse9,2,Last20,231,0,,
Mouse9,2,Last20,232,1,,
Mouse9,2,Last20,233,1,,
Mouse9,2,Last20,234,0,,
Mouse9,3,First20,1,0,,
Mouse9,3,First20,2,0,,
Mouse9,3,First20,3,0,,
Mouse9,3,First20,4,1,,
Mouse9,3,First20,5,0,,
Mouse9,3,First20,6,1,,
Mouse9,3,First20,7,0,,
Mouse9,3,First20,8,0,,
Mouse9,3,First20,9,1,,
Mouse9,3,First20,10,1,,
Mouse9,3,First20,11,0,,
Mouse9,3,First20,12,1,,
Mouse9,3,First20,13,0,,
Mouse9,3,First20,14,0,,
Mouse9,3,First20,15,1,,
Mouse9,3,First20,16,1,,
Mouse9,3,First20,17,0,,
Mouse9,3,First20,18,1,,
Mouse9,3,First20,19,0,,
Mouse9,3,First20,20,1,,
Mouse9,3,Last20,241,1,,
Mouse9,3,Last20,242,1,,
Mouse9,3,Last20,243,1,,
Mouse9,3,Last20,244,1,,
Mouse9,3,Last20,245,0,,
Mouse9,3,Last20,246,1,,
Mouse9,3,Last20,247,0,,
Mouse9,3,Last20,248,1,,
Mouse9,3,Last20,249,1,,
Mouse9,3,Last20,250,1,,
Mouse9,3,Last20,251,0,,
Mouse9,3,Last20,252,1,,
Mouse9,3,Last20,253,0,,
Mouse9,3,Last20,254,1,,
Mouse9,3,Last20,255,0,,
Mouse9,3,Last20,256,1,,
Mouse9,3,Last20,257,1,,
Mouse9,3,Last20,258,1,,
Mouse9,3,Last20,259,1,,
Mouse9,3,Last20,260,0,,
Mouse10,1,First20,1,1,,
Mouse10,1,First20,2,1,,
Mouse10,1,First20,3,0,,
Mouse10,1,First20,4,1,,
Mouse10,1,First20,5,1,,
Mouse10,1,First20,6,1,,
Mouse10,1,First20,7,1,,
Mouse10,1,First20,8,1,,
Mouse10,1,First20,9,0,,
Mouse10,1,First20,10,0,,
Mouse10,1,First20,11,0,,
Mouse10,1,First20,12,0,,
Mouse10,1,First20,13,0,,
Mouse10,1,First20,14,0,,
Mouse10,1,First20,15,0,,
Mouse10,1,First20,16,0,,
Mouse10,1,First20,17,1,,
Mouse10,1,First20,18,0,,
Mouse10,1,First20,19,0,,
Mouse10,1,First20,20,0,,
Mouse10,1,Last20,157,1,,
Mouse10,1,Last20,158,1,,
Mouse10,1,Last20,159,1,,
Mouse10,1,Last20,160,0,,
Mouse10,1,Last20,161,0,,
Mouse10,1,Last20,162,1,,
Mouse10,1,Last20,163,0,,
Mouse10,1,Last20,164,1,,
Mouse10,1,Last20,165,1,,
Mouse10,1,Last20,166,0,,
Mouse10,1,Last20,167,1,,
Mouse10,1,Last20,168,0,,
Mouse10,1,Last20,169,0,,
Mouse10,1,Last20,170,1,,
Mouse10,1,Last20,171,1,,
Mouse10,1,Last20,172,1,,
Mouse10,1,Last20,173,0,,
Mouse10,1,Last20,174,0,,
Mouse10,1,Last20,175,0,,
Mouse10,1,Last20,176,0,,
Mouse10,2,First20,1,0,,
Mouse10,2,First20,2,0,,
Mouse10,2,First20,3,0,,
Mouse10,2,First20,4,0,,
Mouse10,2,First20,5,1,,
Mouse10,2,First20,6,0,,
Mouse10,2,First20,7,1,,
Mouse10,2,First20,8,0,,
Mouse10,2,First20,9,0,,
Mouse10,2,First20,10,1,,
Mouse10,2,First20,11,1,,
Mouse10,2,First20,12,1,,
Mouse10,2,First20,13,1,,
Mouse10,2,First20,14,1,,
Mouse10,2,First20,15,1,,
Mouse10,2,First20,16,1,,
Mouse10,2,First20,17,0,,
Mouse10,2,First20,18,0,,
Mouse10,2,First20,19,0,,
Mouse10,2,First20,20,1,,
Mouse10,2,Last20,168,0,,
Mouse10,2,Last20,169,0,,
Mouse10,2,Last20,170,1,,
Mouse10,2,Last20,171,1,,
Mouse10,2,Last20,172,1,,
Mouse10,2,Last20,173,1,,
Mouse10,2,Last20,174,0,,
Mouse10,2,Last20,175,1,,
Mouse10,2,Last20,176,1,,
Mouse10,2,Last20,177,1,,
Mouse10,2,Last20,178,1,,
Mouse10,2,Last20,179,1,,
Mouse10,2,Last20,180,0,,
Mouse10,2,Last20,181,0,,
Mouse10,2,Last20,182,1,,
Mouse10,2,Last20,183,1,,
Mouse10,2,Last20,184,0,,
Mouse10,2,Last20,185,1,,
Mouse10,2,Last20,186,0,,
Mouse10,2,Last20,187,0,,
Mouse10,3,First20,1,1,,
Mouse10,3,First20,2,0,,
Mouse10,3,First20,3,1,,
Mouse10,3,First20,4,1,,
Mouse10,3,First20,5,1,,
Mouse10,3,First20,6,1,,
Mouse10,3,First20,7,0,,
Mouse10,3,First20,8,1,,
Mouse10,3,First20,9,0,,
Mouse10,3,First20,10,0,,
Mouse10,3,First20,11,0,,
Mouse10,3,First20,12,0,,
Mouse10,3,First20,13,1,,
Mouse10,3,First20,14,0,,
Mouse10,3,First20,15,1,,
Mouse10,3,First20,16,0,,
Mouse10,3,First20,17,1,,
Mouse10,3,First20,18,1,,
Mouse10,3,First20,19,1,,
Mouse10,3,First20,20,1,,
Mouse10,3,Last20,176,1,,
Mouse10,3,Last20,177,0,,
Mouse10,3,Last20,178,0,,
Mouse10,3,Last20,179,0,,
Mouse10,3,Last20,180,1,,
Mouse10,3,Last20,181,1,,
Mouse10,3,Last20,182,1,,
Mouse10,3,Last20,183,1,,
Mouse10,3,Last20,184,1,,
Mouse10,3,Last20,185,1,,
Mouse10,3,Last20,186,1,,
Mouse10,3,Last20,187,0,,
Mouse10,3,Last20,188,0,,
Mouse10,3,Last20,189,1,,
Mouse10,3,Last20,190,1,,
Mouse10,3,Last20,191,1,,
Mouse10,3,Last20,192,1,,
Mouse10,3,Last20,193,0,,
Mouse10,3,Last20,194,0,,
Mouse10,3,Last20,195,0,,
Mouse11,1,First20,1,0,,
Mouse11,1,First20,2,1,,
Mouse11,1,First20,3,1,,
Mouse11,1,First20,4,1,,
Mouse11,1,First20,5,1,,
Mouse11,1,First20,6,1,,
Mouse11,1,First20,7,1,,
Mouse11,1,First20,8,0,,
Mouse11,1,First20,9,1,,
Mouse11,1,First20,10,0,,
Mouse11,1,First20,11,1,,
Mouse11,1,First20,12,1,,
Mouse11,1,First20,13,1,,
Mouse11,1,First20,14,0,,
Mouse11,1,First20,15,0,,
Mouse11,1,First20,16,1,,
Mouse11,1,First20,17,0,,
Mouse11,1,First20,18,0,,
Mouse11,1,First20,19,0,,
Mouse11,1,First20,20,0,,
Mouse11,1,Last20,280,1,,
Mouse11,1,Last20,281,1,,
Mouse11,1,Last20,282,1,,
Mouse11,1,Last20,283,0,,
Mouse11,1,Last20,284,0,,
Mouse11,1,Last20,285,0,,
Mouse11,1,Last20,286,0,,
Mouse11,1,Last20,287,0,,
Mouse11,1,Last20,288,0,,
Mouse11,1,Last20,289,1,,
Mouse11,1,Last20,290,1,,
Mouse11,1,Last20,291,1,,
Mouse11,1,Last20,292,1,,
Mouse11,1,Last20,293,1,,
Mouse11,1,Last20,294,0,,
Mouse11,1,Last20,295,0,,
Mouse11,1,Last20,296,0,,
Mouse11,1,Last20,297,1,,
Mouse11,1,Last20,298,0,,
Mouse11,1,Last20,299,0,,
Mouse11,2,First20,1,1,,
Mouse11,2,First20,2,1,,
Mouse11,2,First20,3,1,,
Mouse11,2,First20,4,0,,
Mouse11,2,First20,5,1,,
Mouse11,2,First20,6,1,,
Mouse11,2,First20,7,1,,
Mouse11,2,First20,8,1,,
Mouse11,2,First20,9,0,,
Mouse11,2,First20,10,1,,
Mouse11,2,First20,11,0,,
Mouse11,2,First20,12,1,,
Mouse11,2,First20,13,1,,
Mouse11,2,First20,14,0,,
Mouse11,2,First20,15,0,,
Mouse11,2,First20,16,0,,
Mouse11,2,First20,17,1,,
Mouse11,2,First20,18,1,,
Mouse11,2,First20,19,1,,
Mouse11,2,First20,20,0,,
Mouse11,2,Last20,255,0,,
Mouse11,2,Last20,256,1,,
Mouse11,2,Last20,257,1,,
Mouse11,2,Last20,258,0,,
Mouse11,2,Last20,259,1,,
Mouse11,2,Last20,260,0,,
Mouse11,2,Last20,261,1,,
Mouse11,2,Last20,262,1,,
Mouse11,2,Last20,263,0,,
Mouse11,2,Last20,264,1,,
Mouse11,2,Last20,265,1,,
Mouse11,2,Last20,266,1,,
Mouse11,2,Last20,267,0,,
Mouse11,2,Last20,268,1,,
Mouse11,2,Last20,269,0,,
Mouse11,2,Last20,270,1,,
Mouse11,2,Last20,271,1,,
Mouse11,2,Last20,272,1,,
Mouse11,2,Last20,273,1,,
Mouse11,2,Last20,274,1,,
Mouse11,3,First20,1,1,,
Mouse11,3,First20,2,1,,
Mouse11,3,First20,3,0,,
Mouse11,3,First20,4,1,,
Mouse11,3,First20,5,1,,
Mouse11,3,First20,6,0,,
Mouse11,3,First20,7,1,,
Mouse11,3,First20,8,1,,
Mouse11,3,First20,9,0,,
Mouse11,3,First20,10,1,,
Mouse11,3,First20,11,1,,
Mouse11,3,First20,12,0,,
Mouse11,3,First20,13,1,,
Mouse11,3,First20,14,1,,
Mouse11,3,First20,15,0,,
Mouse11,3,First20,16,1,,
Mouse11,3,First20,17,0,,
Mouse11,3,First20,18,0,,
Mouse11,3,First20,19,0,,
Mouse11,3,First20,20,1,,
Mouse11,3,Last20,239,1,,
Mouse11,3,Last20,240,0,,
Mouse11,3,Last20,241,1,,
Mouse11,3,Last20,242,1,,
Mouse11,3,Last20,243,1,,
Mouse11,3,Last20,244,1,,
Mouse11,3,Last20,245,1,,
Mouse11,3,Last20,246,0,,
Mouse11,3,Last20,247,1,,
Mouse11,3,Last20,248,1,,
Mouse11,3,Last20,249,0,,
Mouse11,3,Last20,250,1,,
Mouse11,3,Last20,251,1,,
Mouse11,3,Last20,252,1,,
Mouse11,3,Last20,253,1,,
Mouse11,3,Last20,254,0,,
Mouse11,3,Last20,255,1,,
Mouse11,3,Last20,256,0,,
Mouse11,3,Last20,257,1,,
Mouse11,3,Last20,258,1,,
Mouse12,1,First20,1,1,,
Mouse12,1,First20,2,1,,
Mouse12,1,First20,3,1,,
Mouse12,1,First20,4,1,,
Mouse12,1,First20,5,1,,
Mouse12,1,First20,6,1,,
Mouse12,1,First20,7,1,,
Mouse12,1,First20,8,0,,
Mouse12,1,First20,9,0,,
Mouse12,1,First20,10,0,,
Mouse12,1,First20,11,0,,
Mouse12,1,First20,12,0,,
Mouse12,1,First20,13,0,,
Mouse12,1,First20,14,1,,
Mouse12,1,First20,15,0,,
Mouse12,1,First20,16,0,,
Mouse12,1,First20,17,0,,
Mouse12,1,First20,18,0,,
Mouse12,1,First20,19,1,,
Mouse12,1,First20,20,0,,
Mouse12,1,Last20,156,0,,
Mouse12,1,Last20,157,0,,
Mouse12,1,Last20,158,1,,
Mouse12,1,Last20,159,0,,
Mouse12,1,Last20,160,1,,
Mouse12,1,Last20,161,1,,
Mouse12,1,Last20,162,0,,
Mouse12,1,Last20,163,1,,
Mouse12,1,Last20,164,0,,
Mouse12,1,Last20,165,1,,
Mouse12,1,Last20,166,1,,
