Val,Geno,Bin,ID
11,1,1,1
12,1,2,1
14,1,3,1
14,1,1,2
6,1,2,2
16,1,3,2
8,1,1,3
11,1,2,3
12,1,3,3
10,1,1,4
10,1,2,4
12,1,3,4
11,1,1,5
12,1,2,5
12,1,3,5
11,1,1,6
9,1,2,6
12,1,3,6
5,1,1,7
6,1,2,7
3,1,3,7
6,2,1,8
5,2,2,8
4,2,3,8
4,2,1,9
6,2,2,9
10,2,3,9
4,2,1,10
8,2,2,10
8,2,3,10
5,2,1,11
6,2,2,11
10,2,3,11
3,2,1,12
3,2,2,12
6,2,3,12
3,2,1,13
6,2,2,13
7,2,3,13
4,2,1,14
5,2,2,14
5,2,3,14
