mouse,session,trial,result
Mouse1,5,77,1
Mouse1,5,79,1
Mouse1,5,82,0
Mouse1,5,83,1
Mouse1,5,86,0
Mouse1,5,89,0
Mouse1,5,92,0
Mouse1,5,95,1
Mouse1,5,97,0
Mouse1,5,99,0
Mouse1,5,100,1
Mouse1,5,103,0
Mouse1,5,105,1
Mouse1,5,107,1
Mouse1,5,109,1
Mouse1,5,110,1
Mouse1,5,112,1
Mouse1,5,114,1
Mouse1,5,115,1
Mouse1,5,117,1
Mouse1,5,119,0
Mouse1,5,120,1
Mouse1,5,122,1
Mouse1,5,125,0
Mouse1,5,126,1
Mouse1,6,1,1
Mouse1,6,2,0
Mouse1,6,5,1
Mouse1,6,8,0
Mouse1,6,11,0
Mouse1,6,12,1
Mouse1,6,14,1
Mouse1,6,15,1
Mouse1,6,17,1
Mouse1,6,18,1
Mouse1,6,21,0
Mouse1,6,22,0
Mouse1,6,24,1
Mouse1,6,26,0
Mouse1,6,29,1
Mouse1,6,30,1
Mouse1,6,32,1
Mouse1,6,35,0
Mouse1,6,36,1
Mouse1,6,39,1
Mouse1,6,41,1
Mouse1,6,42,1
Mouse1,6,44,1
Mouse1,6,46,1
Mouse1,6,49,0
Mouse1,6,51,1
Mouse1,6,54,1
Mouse1,6,55,1
Mouse1,6,58,0
Mouse1,6,60,1
Mouse1,6,61,1
Mouse1,6,63,1
Mouse1,6,65,1
Mouse1,6,68,1
Mouse1,6,69,0
Mouse1,6,71,1
Mouse1,6,74,1
Mouse1,6,75,0
Mouse1,6,78,1
Mouse1,6,81,0
Mouse1,6,82,0
Mouse1,6,84,1
Mouse1,6,87,0
Mouse1,6,88,1
Mouse1,6,90,1
Mouse1,6,91,1
Mouse1,6,94,1
Mouse1,6,96,1
Mouse1,6,97,0
Mouse1,6,100,0
Mouse1,6,101,0
Mouse1,6,103,0
Mouse1,6,104,1
Mouse1,6,107,1
Mouse1,6,109,1
Mouse1,6,110,1
Mouse1,6,112,1
Mouse1,6,113,0
Mouse1,6,115,1
Mouse1,6,118,0
Mouse1,6,121,1
Mouse1,6,124,1
Mouse1,6,127,1
Mouse1,6,130,1
Mouse1,6,132,1
Mouse1,7,1,0
Mouse1,7,4,0
Mouse1,7,6,0
Mouse1,7,9,1
Mouse1,7,12,0
Mouse1,7,13,0
Mouse1,7,16,1
Mouse1,7,18,0
Mouse1,7,21,1
Mouse1,7,22,1
Mouse1,7,24,1
Mouse1,7,26,1
Mouse1,7,28,0
Mouse1,7,31,1
Mouse1,7,32,1
Mouse1,7,35,1
Mouse1,7,37,1
Mouse1,7,38,1
Mouse1,7,40,1
Mouse1,7,41,0
Mouse1,7,44,1
Mouse1,7,47,1
Mouse1,7,50,1
Mouse1,7,53,1
Mouse1,7,55,1
Mouse1,7,56,1
Mouse1,7,59,1
Mouse1,7,60,1
Mouse1,7,62,1
Mouse1,7,63,1
Mouse1,7,66,0
Mouse1,7,68,1
Mouse1,7,69,1
Mouse1,7,72,1
Mouse1,7,73,1
Mouse1,7,75,0
Mouse1,7,76,1
Mouse1,7,78,0
Mouse1,7,81,0
Mouse1,7,82,0
Mouse1,7,84,0
Mouse1,7,87,0
Mouse1,7,88,0
Mouse1,7,91,1
Mouse1,7,94,1
Mouse1,7,95,1
Mouse1,7,97,1
Mouse1,7,98,0
Mouse1,7,101,0
Mouse1,7,102,0
Mouse1,7,104,0
Mouse1,7,105,0
Mouse1,7,107,0
Mouse1,7,109,1
Mouse1,7,111,1
Mouse1,7,113,1
