mouse,session,trial,result
Mouse1,2,116,0
Mouse1,2,117,1
Mouse1,2,118,1
Mouse1,2,119,1
Mouse1,2,120,1
Mouse1,2,121,0
Mouse1,2,122,1
Mouse1,2,123,0
Mouse1,2,124,1
Mouse1,3,1,0
Mouse1,3,2,1
Mouse1,3,3,1
Mouse1,3,4,1
Mouse1,3,5,1
Mouse1,3,6,0
Mouse1,3,7,1
Mouse1,3,8,0
Mouse1,3,9,1
Mouse1,3,10,1
Mouse1,3,11,1
Mouse1,3,12,1
Mouse1,3,13,1
Mouse1,3,14,0
Mouse1,3,15,1
Mouse1,3,16,0
Mouse1,3,17,0
Mouse1,3,18,0
Mouse1,3,19,0
Mouse1,3,20,1
Mouse1,3,21,1
Mouse1,3,22,1
Mouse1,3,23,1
Mouse1,3,24,1
Mouse1,3,25,0
Mouse1,3,26,0
Mouse1,3,27,1
Mouse1,3,28,1
Mouse1,3,29,0
Mouse1,3,30,1
Mouse1,3,31,1
Mouse1,3,32,0
Mouse1,3,33,1
Mouse1,3,34,1
Mouse1,3,35,1
Mouse1,3,36,0
Mouse1,3,37,1
Mouse1,3,38,1
Mouse1,3,39,1
Mouse1,3,40,1
Mouse1,3,41,1
Mouse1,3,42,0
Mouse1,3,43,0
Mouse1,3,44,1
Mouse1,3,45,1
Mouse1,3,46,1
Mouse1,3,47,1
Mouse1,3,48,1
Mouse1,3,49,0
Mouse1,3,50,1
Mouse1,3,51,1
Mouse1,3,52,1
Mouse1,3,53,1
Mouse1,3,54,0
Mouse1,3,55,1
Mouse1,3,56,0
Mouse1,3,57,0
Mouse1,3,58,1
Mouse1,3,59,0
Mouse1,3,60,0
Mouse1,3,61,0
Mouse1,3,62,0
Mouse1,3,63,0
Mouse1,3,64,1
Mouse1,3,65,1
Mouse1,3,66,1
Mouse1,3,67,0
Mouse1,3,68,0
Mouse1,3,69,0
Mouse1,3,70,1
Mouse1,3,71,0
Mouse1,3,72,1
Mouse1,3,73,1
Mouse1,3,74,0
Mouse1,3,75,1
Mouse1,3,76,0
Mouse1,3,77,1
Mouse1,3,78,0
Mouse1,3,79,0
Mouse1,3,80,1
Mouse1,3,81,0
Mouse1,3,82,0
Mouse1,3,83,1
Mouse1,3,84,0
Mouse1,3,85,1
Mouse1,3,86,1
Mouse1,3,87,1
Mouse1,3,88,0
Mouse1,3,89,1
Mouse1,3,90,0
Mouse1,3,91,1
Mouse1,3,92,1
Mouse1,3,93,1
Mouse1,3,94,0
Mouse1,3,95,1
Mouse1,3,96,1
Mouse1,3,97,1
Mouse1,3,98,0
Mouse1,3,99,1
Mouse1,3,100,1
Mouse1,3,101,1
Mouse1,3,102,1
Mouse1,3,103,1
Mouse1,3,104,1
Mouse1,3,105,1
Mouse1,3,106,1
Mouse1,3,107,1
Mouse1,3,108,0
Mouse1,3,109,1
Mouse1,3,110,1
Mouse1,3,111,1
Mouse1,3,112,1
Mouse1,3,113,1
Mouse1,3,114,0
Mouse1,3,115,1
Mouse1,3,116,0
Mouse1,3,117,0
Mouse1,3,118,1
Mouse1,3,119,1
Mouse1,3,120,1
Mouse1,3,121,1
Mouse1,3,122,0
Mouse1,3,123,0
Mouse1,3,124,1
Mouse1,3,125,1
Mouse1,4,1,1
Mouse1,4,2,0
Mouse1,4,3,0
Mouse1,4,4,1
Mouse1,4,5,0
Mouse1,4,6,1
Mouse1,4,7,1
Mouse1,4,8,0
Mouse1,4,9,1
Mouse1,4,10,0
Mouse1,4,11,1
Mouse1,4,12,0
Mouse1,4,13,1
Mouse1,4,14,0
Mouse1,4,15,0
Mouse1,4,16,1
Mouse1,4,17,1
Mouse1,4,18,1
Mouse1,4,19,1
Mouse1,4,20,0
Mouse1,4,21,1
Mouse1,4,22,1
Mouse1,4,23,1
Mouse1,4,24,1
Mouse1,4,25,0
Mouse1,4,26,1
Mouse1,4,27,1
