Val,Bin,ID
25.47169811,1,1
20.35714286,2,1
20.91743119,3,1
24.375,4,1
22.05128205,1,2
22.77777778,2,2
17.54716981,3,2
16.15384615,4,2
21.94029851,1,3
20,2,3
20.38834951,3,3
19.57894737,4,3
60,1,4
46.92307692,2,4
32.72727273,3,4
19.51219512,4,4
