Val,Bin,ID
56.32666667,1,1
56.50806452,2,1
60.256,3,1
57.58064516,4,1
54,5,1
65.46938776,1,2
64.71875,2,2
64.54918033,3,2
74.94059406,4,2
81.5042735,5,2
94.92258065,1,3
67.29927007,2,3
63.52755906,3,3
55.03738318,4,3
52.19417476,5,3
81.51111111,1,4
63.95867769,2,4
57.03883495,3,4
56.50980392,4,4
59.13684211,5,4
