Fig6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,B,,,,C,,D,,,,,,E,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,,,,,,,,,delay,,,,,,,,,,,,,,,,,,,,
Ave,42.14999926,46.08843537,51,53.9047619,62.77934272,81.44499179,81.44499179,45.64882133,55.88240879,59.29397279,63.92914654,62.16746389,68.39062956,66.44096816,,,Ave,74.08635414,71.18948102,65.48505913,69.69439728,62.62944867,58.01282051,57.33659191,41.93586269,,,Ave,7.853979667,8.747579333,11.03806233,14.83800233,18.63237633,30.97184833,70.25819467,52.45845533
Sem,0.975224379,5.624381847,5.567764363,4.135735532,3.9630754,5.254515599,5.254515599,0.705001102,2.303419923,1.014768065,4.269588916,4.513785413,6.602041799,3.221968188,,,Sem,8.145313498,0.282266009,4.153055905,8.645000579,5.639736474,1.762820513,8.954424842,3.070763398,,,Sem,0.851516044,1.055055101,1.472710061,1.562864882,1.289944726,5.888856389,40.14123002,15.02913895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibo1,37.03703704,48,63,71,82,71.42857143,71.42857143,45.19774011,55.55555556,56.33802817,56.33802817,61.06870229,57.55395683,57.55395683,,,ibo1,59.15492958,55.26315789,56.96202532,50.68493151,60.2739726,41.55844156,54.66666667,59.42028986,,,ibo1,10.591549,19.697368,14.392405,16.547945,43.69863,26.898734,32.933333,33.637681
ibo2,38.97435897,44,50,87,82,90.90909091,90.90909091,50.66666667,59.70149254,66.11570248,59.25925926,58.39416058,63.49206349,54.42176871,,,ibo2,83.07692308,51.76470588,58.44155844,48.68421053,53.65853659,43.20987654,41.30434783,46.93877551,,,ibo2,8.430769,70.470588,26.519481,49.342105,104.536585,,245.675676,198.244898
ibo3,44.44444444,57,71,80,86,98.7654321,98.7654321,55.94405594,56.73758865,60.15037594,50.95541401,55.55555556,60.60606061,80.80808081,,,ibo3,86.44067797,62.66666667,50.60240964,60.56338028,64.51612903,41.50943396,44.44444444,37.14285714,,,ibo3,6.457627,9.466667,22.855422,29.014085,20.16129,38.716981,59.888889,134.828571
Ave,40.15194682,49.66666667,61.33333333,79.33333333,83.33333333,87.03436481,87.03436481,50.60282091,57.33154558,60.86803553,55.51756715,58.33947281,60.55069364,64.26126878,,,Ave,76.22417687,56.56484348,55.33533113,53.31084077,59.48287941,42.09258402,46.80515298,47.83397417,,,Ave,8.493315,33.211541,21.25576933,31.63471167,56.13216833,32.8078575,112.8326327,122.23705
Sem,2.217916137,3.844187532,6.119186584,4.630814663,1.333333333,8.125804874,8.125804874,3.102358414,1.23312435,2.845288808,2.431962766,1.591743258,1.714407263,8.322667676,,,Sem,8.58968595,3.213719354,2.404694296,3.671975768,3.159177096,0.558825367,4.033922813,6.446498728,,,Sem,1.193770187,18.86216891,3.590991486,9.55710897,25.13790139,5.9091235,66.8757707,47.93326532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Selected,ID,1,2,3,5,8,12,16,20,,Selected,ID,1,2,3,5,8,12,16,20
,,,,,,,,,,,,,,,,,sal1,87.234043,80.487805,77.5,86.956522,90.47619,70.588235,58.823529,50,,,sal1,7.382979,8.731707,9.95,12.673913,16.428571,20.617647,26.764706,30.95
,,,,,,,,,,,,,,,,,sal2,90,74.137931,73.333333,83.636364,70.833333,63.636364,82.051282,37.837838,,,sal2,6,7.206897,8.683333,11.254545,14.25,18.545455,23.487179,28.756757
,,,,,,,,,,,,,,,,,sal3,63.076923,71.875,66.666667,51.923077,41.666667,55.813953,48.484848,37.209302,,,sal3,6.784615,7.78125,8.77193,11.730769,16.208333,21.255814,25.393939,29.418605
,,,,,,,,,,,,,,,,,Ave,80.10365533,75.50024533,72.5,74.17198767,67.65873,63.346184,63.11988633,41.68238,,,Ave,6.722531333,7.906618,9.135087667,11.886409,15.628968,20.13963867,25.21527467,29.708454
,,,,,,,,,,,,,,,,,Sem,8.550727844,2.577920851,3.154948964,11.16566734,14.17922144,4.267435041,9.925058986,4.162766157,,,Sem,0.400436643,0.444615653,0.408258064,0.417060842,0.69240902,0.81810359,0.950348448,0.64950957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ibo1,56.363636,69.565217,67.391304,59.183673,68.888889,54,56.818182,56,,,ibo1,7.054545,7.891304,9.304348,12.163265,15.111111,21.14,24.909091,29.64
,,,,,,,,,,,,,,,,,ibo2,85.964912,59.016393,62.068966,47.368421,52.238806,51.923077,51.923077,51.111111,,,ibo2,6.561404,9.065574,9.931034,12.596491,14.58209,,22.057692,27.911111
,,,,,,,,,,,,,,,,,ibo3,86.206897,71.666667,67.272727,78.947368,80.952381,54.545455,52.631579,30.769231,,,ibo3,6.344828,7.466667,9.127273,12.157895,16.571429,20.181818,25.315789,32.076923
,,,,,,,,,,,,,,,,,Ave,76.17848167,66.74942567,65.57766567,61.833154,67.36002533,53.48951067,53.790946,45.960114,,,Ave,6.653592333,8.141181667,9.454218333,12.30588367,15.42154333,20.660909,24.09419067,29.87601133
,,,,,,,,,,,,,,,,,Sem,9.907669097,3.91381607,1.754683745,9.211809189,8.324069826,0.798888001,1.527373794,7.72544505,,,Sem,0.209998866,0.478175364,0.243826286,0.145311936,0.594879144,0.479091,1.024995273,1.20834231
