S17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VD1,,,,,,,,,VD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18-2g-25F,80,100,90,90,80,80,90,90,,70,60,80,60,50,60,40,50,,30,60,30,70,60,70,50,70,,50,90,70,70,20,60,70,50,,70,50,80,80,40,60,90,60,,80,80,90,90,80,60,90,70,,80,70,70,80,70,70,100,100,,70,90,90,60,100,100,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32-2g-15F,80,60,100,100,90,100,100,100,,20,30,10,30,30,30,30,60,,40,60,20,50,60,50,50,30,,30,50,70,60,40,80,80,50,,50,60,60,40,70,60,70,60,,20,50,70,50,30,60,30,90,,80,60,80,70,50,50,50,60,,40,60,60,60,90,80,60,50,,50,60,80,70,60,80,80,50,,90,90,60,90,80,50,70,60,,80,80,70,70,70,80,70,100,,90,100,80,90,100,80,70,90,,90,90,90,90,50,90,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32-2g-17F,90,80,80,70,80,70,,,,40,70,50,60,80,,,,,30,50,50,20,50,70,50,,,70,50,60,70,30,60,,,,40,70,40,70,30,70,,,,40,60,80,50,80,70,70,80,,50,40,60,70,60,50,50,70,,40,70,80,50,80,60,70,40,,50,70,60,70,50,70,80,80,,60,60,70,80,60,50,70,70,,70,80,100,90,70,90,70,70,,60,70,80,80,60,90,60,80,,80,50,60,70,90,90,90,80,,80,80,70,70,80,80,70,80,,80,80,70,60,100,80,70,80,,60,70,90,80,90,60,80,70,,70,80,90,90,80,80,80,90,,90,60,100,80,80,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18-2g-34F,90,80,90,90,90,90,100,100,,50,40,70,10,,,,,,50,50,60,30,60,50,50,40,,60,50,60,50,70,60,60,,,20,40,50,60,60,40,40,,,30,40,50,40,40,70,80,20,,70,50,70,60,80,80,90,80,,80,60,70,80,90,60,90,80,,90,70,70,70,50,40,80,60,,70,80,80,80,90,90,80,60,,70,90,80,90,70,80,60,90,,70,80,70,100,80,90,90,90,,80,80,90,90,100,90,90,90,,90,90,60,90,80,50,70,60,,80,80,70,70,70,80,70,100,,90,100,80,90,100,80,70,90,,90,90,90,90,50,90,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32-2g-21F,80,60,100,100,90,100,100,100,,20,30,10,30,30,30,30,60,,40,60,20,50,60,50,50,30,,30,50,70,60,40,80,80,50,,50,60,60,40,70,60,70,60,,20,50,70,50,30,60,30,90,,80,60,80,70,50,50,50,60,,40,60,60,60,90,80,60,50,,50,60,80,70,60,80,80,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N64-2g-4F,70,60,60,80,60,80,100,80,,90,90,100,100,100,100,90,90,,50,40,50,50,50,60,70,30,,60,60,70,50,60,70,70,90,,60,20,70,70,90,50,50,30,,40,60,60,80,90,70,30,60,,80,70,60,70,70,50,70,70,,70,70,50,30,50,80,50,80,,60,90,60,90,80,70,100,80,,80,90,90,90,80,30,90,90,,80,90,80,80,90,70,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,81.66666667,73.33333333,86.66666667,88.33333333,81.66666667,86.66666667,98,94,,48.33333333,53.33333333,53.33333333,48.33333333,58,55,47.5,65,,40,53.33333333,38.33333333,45,56.66666667,58.33333333,53.33333333,40,,50,58.33333333,66.66666667,60,43.33333333,68.33333333,72,60,,48.33333333,50,60,60,60,56.66666667,64,52.5,,38.33333333,56.66666667,70,60,58.33333333,65,55,68.33333333,,73.33333333,58.33333333,70,70,63.33333333,58.33333333,68.33333333,73.33333333,,56.66666667,68.33333333,68.33333333,56.66666667,83.33333333,76.66666667,66.66666667,66.66666667,,60,70,70,74,60,68,84,64,,75,80,75,85,77.5,55,77.5,70,,75,85,82.5,82.5,75,80,72.5,90,,73.33333333,83.33333333,76.66666667,90,80,86.66666667,73.33333333,86.66666667,,83.33333333,73.33333333,80,83.33333333,80,90,90,83.33333333,,85,85,65,80,80,65,70,70,,80,80,70,65,85,80,70,90,,75,85,85,85,95,70,75,80,,80,85,90,90,65,85,85,85,,90,60,100,80,80,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,3.073181486,6.666666667,6.146362972,4.772607021,4.772607021,4.944132325,2,4,,11.37736544,9.888264649,15.202339,13.01708279,13.92838828,16.58312395,14.36140662,8.660254038,,3.651483717,3.333333333,7.03167437,7.187952884,2.108185107,4.01386486,3.333333333,7.745966692,,6.831300511,6.54047229,2.108185107,3.651483717,7.601169501,4.01386486,3.741657387,10,,7.03167437,7.302967433,5.773502692,6.831300511,8.94427191,4.216370214,8.717797887,7.5,,9.098229376,5.57773351,5.773502692,8.164965809,11.37736544,2.236067977,11.47460965,10.77548658,,4.944132325,4.772607021,3.651483717,2.581988897,4.944132325,5.426273532,9.098229376,6.146362972,,7.601169501,4.772607021,6.009252126,6.666666667,7.14920353,6.146362972,5.57773351,9.545214042,,7.745966692,5.477225575,4.472135955,4,5.477225575,7.348469228,4,6.782329983,,6.454972244,7.071067812,6.454972244,2.886751346,6.291528696,12.58305739,4.787135539,7.071067812,,2.886751346,2.886751346,6.291528696,4.787135539,5,4.082482905,6.291528696,7.071067812,,8.819171037,8.819171037,3.333333333,5.773502692,11.54700538,3.333333333,8.819171037,3.333333333,,3.333333333,12.01850425,10,6.666666667,15.27525232,0,0,3.333333333,,5,5,5,10,0,15,0,10,,0,0,0,5,15,0,0,10,,15,15,5,5,5,10,5,10,,10,5,0,0,15,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎ13-2g-36F,90,80,90,90,90,90,100,100,,50,40,70,10,,,,,,50,50,60,30,60,50,50,40,,60,50,60,50,70,60,60,,,20,40,50,60,60,40,40,,,30,40,50,40,40,70,80,20,,70,50,70,60,80,80,90,80,,80,60,70,80,90,60,90,80,,90,70,70,70,50,40,80,60,,70,80,80,80,90,90,80,60,,70,90,80,90,70,80,60,90,,70,80,70,100,80,90,90,90,,80,80,90,90,100,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10-2g-42F,70,100,100,90,90,100,100,100,,20,30,60,10,40,70,50,20,,20,40,50,70,60,60,60,70,,50,60,60,60,60,40,60,70,,40,50,60,70,60,50,50,50,,80,60,50,70,60,60,70,40,,40,70,60,70,70,90,70,60,,80,90,70,70,60,60,90,60,,80,90,70,40,90,70,80,90,,90,100,80,60,70,70,60,50,,60,80,60,60,70,70,90,60,,70,60,80,70,80,90,80,100,,80,100,50,80,70,90,70,70,,90,90,80,70,80,80,90,90,,100,90,100,80,100,80,80,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10-2g-43F,90,100,80,100,100,80,90,90,,30,20,20,30,30,30,20,30,,70,50,40,30,50,30,50,40,,40,60,30,60,50,70,70,70,,60,10,40,60,60,70,40,80,,70,60,60,80,40,60,50,60,,60,50,50,30,50,80,40,20,,40,20,50,50,40,30,80,60,,80,20,70,50,40,50,60,60,,60,70,80,60,60,50,50,60,,50,40,60,70,90,60,90,30,,50,70,70,60,70,60,80,90,,70,90,60,80,70,50,60,70,,60,90,80,90,60,70,70,60,,90,40,50,30,60,60,50,70,,80,40,80,70,20,90,70,70,,80,90,90,70,60,50,70,60,,70,80,80,50,90,70,80,60,,70,90,80,70,60,80,60,90,,90,80,100,50,60,80,70,90,,70,70,90,70,80,80,80,70,,100,60,60,80,90,70,50,70,,90,80,90,80,80,80,80,80,,100,70,80,70,70,80,60,100
N40-2g-21F,90,100,90,80,70,80,90,90,,30,70,40,40,50,40,40,30,,50,80,50,80,90,40,50,60,,30,70,40,60,70,80,70,80,,60,70,60,80,70,40,80,60,,70,50,40,50,60,60,50,70,,60,50,60,80,80,70,50,50,,70,90,80,70,70,70,80,80,,70,80,70,90,70,90,80,70,,60,70,70,40,60,70,60,80,,70,70,60,60,60,70,90,60,,60,90,90,50,90,80,70,70,,80,80,90,80,60,80,70,60,,60,90,70,70,70,100,70,100,,50,90,60,60,80,90,80,100,,80,90,80,90,90,60,70,80,,70,80,60,70,80,100,100,90,,80,80,70,80,90,100,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N40-2g-22F,50,80,70,60,90,80,80,60,,60,80,70,60,50,100,40,70,,90,80,90,60,60,80,90,40,,90,90,60,40,100,60,50,80,,100,90,80,60,80,60,70,80,,70,90,60,90,100,70,70,90,,90,90,80,70,90,90,90,80,,80,80,90,100,100,80,90,80,,60,50,30,30,30,30,40,60,,50,50,10,30,30,40,20,60,,50,30,50,40,30,30,50,,,60,50,,,,,,,,30,50,70,40,50,60,90,60,,80,50,50,30,40,40,60,50,,70,40,60,60,70,50,50,60,,40,30,60,30,40,40,60,,,60,60,50,50,40,70,50,,,60,50,70,60,70,60,70,60,,70,60,70,70,80,60,40,20,,70,60,50,80,50,70,30,60,,60,50,50,60,70,60,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
N40-2g-56F,100,80,100,90,90,100,80,80,,40,40,70,50,40,80,20,60,,30,40,60,50,40,50,70,70,,60,60,30,60,40,60,30,60,,70,30,80,60,60,60,50,70,,60,50,50,40,70,60,60,50,,80,60,70,60,40,70,80,90,,50,50,60,60,70,70,30,80,,80,70,90,70,50,60,90,90,,60,50,60,60,70,90,50,70,,60,80,80,70,70,80,50,90,,50,70,80,90,80,90,70,80,,60,70,80,70,80,90,70,90,,80,70,70,70,70,70,80,80,,70,70,50,90,80,60,80,60,,70,50,70,90,70,70,40,60,,90,90,90,70,70,80,80,60,,90,90,90,90,90,50,70,70,,90,90,70,80,30,80,70,90,,100,70,90,80,80,80,100,100,,70,100,90,90,90,80,80,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,81.66666667,90,88.33333333,85,88.33333333,88.33333333,90,86.66666667,,38.33333333,46.66666667,55,33.33333333,42,64,34,42,,51.66666667,56.66666667,58.33333333,53.33333333,60,51.66666667,61.66666667,53.33333333,,55,65,46.66666667,55,65,61.66666667,56.66666667,72,,58.33333333,48.33333333,61.66666667,65,65,53.33333333,55,68,,63.33333333,58.33333333,51.66666667,61.66666667,61.66666667,63.33333333,63.33333333,55,,66.66666667,61.66666667,65,61.66666667,68.33333333,80,70,63.33333333,,66.66666667,65,70,71.66666667,71.66666667,61.66666667,76.66666667,73.33333333,,76.66666667,63.33333333,66.66666667,58.33333333,55,56.66666667,71.66666667,71.66666667,,65,70,63.33333333,55,63.33333333,68.33333333,53.33333333,63.33333333,,60,65,65,65,65,65,71.66666667,66,,60,70,78,74,80,82,78,86,,66.66666667,78.33333333,73.33333333,73.33333333,71.66666667,76.66666667,75,73.33333333,,74,78,70,66,64,72,74,76,,76,66,64,64,78,68,68,76,,67.5,52.5,72.5,70,55,65,60,70,,75,80,72.5,65,62.5,75,75,70,,75,75,77.5,70,85,70,75,57.5,,76.66666667,80,73.33333333,73.33333333,56.66666667,73.33333333,56.66666667,66.66666667,,86.66666667,70,80,70,63.33333333,76.66666667,66.66666667,83.33333333,,66.66666667,73.33333333,76.66666667,73.33333333,80,73.33333333,80,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,7.490735018,4.472135955,4.772607021,5.627314339,4.01386486,4.01386486,3.651483717,6.146362972,,6.009252126,9.545214042,8.465616733,8.432740427,3.741657387,12.88409873,6,9.695359715,,10.46156988,7.601169501,7.03167437,8.432740427,6.831300511,7.03167437,6.54047229,6.146362972,,8.465616733,5.627314339,6.146362972,3.415650255,8.465616733,5.426273532,6.146362972,3.741657387,,11.08051343,11.66666667,6.54047229,3.415650255,3.415650255,4.944132325,6.708203932,5.830951895,,7.14920353,7.03167437,3.073181486,8.724168219,9.098229376,2.108185107,4.944132325,9.91631652,,7.14920353,6.54047229,4.281744193,7.03167437,7.923242883,3.651483717,8.563488386,10.54092553,,7.14920353,11.18033989,5.773502692,7.03167437,8.724168219,7.03167437,9.545214042,4.216370214,,4.216370214,10.21980648,8.027729719,9.098229376,8.850612032,8.819171037,7.490735018,6.009252126,,5.627314339,7.745966692,11.15546702,7.187952884,8.027729719,8.333333333,8.027729719,4.216370214,,3.651483717,9.91631652,5,6.708203932,8.062257748,7.637626158,8.333333333,11.22497216,,3.651483717,5.773502692,3.741657387,9.273618495,3.16227766,5.830951895,3.741657387,5.099019514,,8.027729719,7.03167437,6.666666667,7.14920353,7.03167437,7.14920353,5,5.57773351,,6,8,5.477225575,9.797958971,6.782329983,9.695359715,5.099019514,9.273618495,,8.717797887,11.22497216,9.273618495,10.29563014,6.633249581,7.348469228,7.348469228,8.124038405,,9.464847243,13.1497782,4.787135539,14.14213562,15.54563176,10.40833,7.071067812,5.773502692,,6.454972244,7.071067812,10.30776406,5,8.539125638,10.40833,10.40833,10,,6.454972244,8.660254038,4.787135539,9.128709292,5,10.8012345,2.886751346,6.291528696,,6.666666667,10,3.333333333,3.333333333,14.52966315,6.666666667,8.819171037,23.33333333,,8.819171037,5.773502692,15.27525232,10,8.819171037,3.333333333,20.2758751,12.01850425,,3.333333333,14.52966315,13.33333333,8.819171037,5.773502692,6.666666667,0,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trials,,E,F,,,,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VD1,VD2,,,,pre-acquisition,acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,,1,2,3,4,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,N18-2g-25F,207,209,63,61,145,96,143,138,127,120,102,100,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N32-2g-15F,155,137,130,115,89,87,105,98,114,128,113,122,123,126,105,102,92,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N32-2g-17F,83,62,110,109,173,68,51,70,62,62,127,148,123,123,123,108,114,105,104,102,107,95,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N18-2g-34F,220,199,219,147,124,89,46,135,74,70,95,110,103,113,106,102,95,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N32-2g-21F,155,137,137,130,115,87,105,98,114,128,113,122,123,126,105,102,92,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N64-2g-4F,20,144,132,158,89,107,151,132,145,135,126,94,129,102,97,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,140,148,131.8333333,120,122.5,89,100.1666667,111.8333333,106,107.1666667,112.6666667,116,116.1666667,118,107.2,101.6,98.25,97.25,104,102,107,95,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sem,31.08483017,21.58394465,20.69044331,14.02378931,13.36600165,5.234500931,18.08943829,11.19647762,12.97433364,13.20206213,5.194013648,7.899367063,5.430878791,4.65832588,4.270831301,2.227105745,5.297405025,3.06526236,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ｎ13-2g-36F,149,93,43,99,104,16,12,46,44,87,119,145,119,123,99,116,109,117,109,76,126,95,100,94,55,44,37,51,51,74,74,75,66,83,56,49,87,110,112,88,97,92,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N10-2g-42F,137,117,132,127,111,85,171,149,136,146,138,119,107,111,109,120,100,105,95,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
