Fig7,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,B,,,,,C,,D,,,,,,,,,,,,,,,
Ave,12.5,,,Ave,85.06375702,86.92994505,78.28339078,68.32881008,71.3619457,68.6057644,67.87602167,64.73150232,69.13764419,66.97346336,,6.641631167,11.78853883,13.98778083,28.61265433,15.333065,21.1211425,23.95965067,32.3170255,35.81176267,39.2205415
Sem,1.607275127,,,Sem,1.34345164,3.532884573,3.663012123,4.858974509,4.276519637,5.45309621,3.936291417,3.174987115,3.451586216,2.131688353,,0.718457698,5.497469426,5.860550428,17.23545112,1.911540811,4.008184408,1.434308556,4.457801499,1.606817622,1.592411246
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎ13-2g-36F,37,,,Ｎ13-2g-36F,83.33333333,89.36170213,84.21052632,68.75,48.75,34.56790123,49.31506849,38.46153846,32.25806452,33.33333333,,6.678525,5.502255,6.775316,8.923156,12.10721,15.98362,21.95988,81.50852,57.47352,38.15967
N10-2g-42F,14,,,N10-2g-42F,88.88888889,100,75.43859649,51.2195122,69.56521739,39.58333333,46.15384615,50.57471264,57.62711864,42.5,,5.403778,5.071229,6.665632,9.753634,12.30157,21.99097,31.91191,38.48641,41.06458,45.3897
N10-2g-43F,23,,,N10-2g-43F,80,65,81.66666667,75,70.14925373,56.41025641,48.14814815,53.94736842,70.58823529,61.64383562,,7.0162,7.7333,8.211067,9.151517,11.03021,19.07096,20.43948,23.60509,31.49919,33.28853
N40-2g-21F,17,,,N40-2g-21F,80,87.03703704,78.94736842,66.66666667,52.38095238,51.94805195,52.23880597,53.125,47.82608696,46.42857143,,7.550136,7.932685,9.58414,12.94593,18.84314,24.06987,33.26652,37.61334,45.66989,136.247
N40-2g-22F,22,,,N40-2g-22F,86.95652174,81.48148148,63.33333333,57.33333333,54.43037975,48.27586207,62.5,37.5,54.54545455,58.33333333,,5.331602,5.483611,8.436267,10.43004,52.01241,105.6502,66.47253,205.1985,357.452,432.531
N40-2g-56F,20,,,N40-2g-56F,84.21052632,64.51612903,65.71428571,59.15492958,62.5,57.74647887,46.25,54.54545455,41.86046512,58.49056604,,6.340294,8.144968,30.67704,12.98897,14.93819,23.13507,47.25064,29.37381,128.6006,98.39525
,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,22.16666667,,,Ave,83.89821171,81.23272495,74.88512949,63.0207403,59.62930054,48.08864731,50.76764479,48.02567901,50.78423751,50.12160662,,6.386755833,6.644674667,11.72491033,10.6988745,20.205455,34.98344833,36.88349333,69.29761167,110.2932967,130.668525
Sem,2.755225915,,,Sem,1.472739579,5.759018261,3.499089183,3.5410918,3.721824297,3.797384549,2.519791439,3.226645464,5.430695346,4.55999713,,0.361318712,0.583777315,3.816731445,0.748488228,6.464055642,14.18483381,7.103773099,28.4330192,51.44246687,62.58510663
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Selected,,1,1,2,3,5,8,12,16,20,24,,,,,,,,,,,
,,,,N18-2g-25F,86.2069,84.84848,95.2381,86.84211,93.54839,61.40351,69.81132,82.35294,72.91667,65.45455,,6.411912,6.760516,8.648087,9.641462,12.40948,16.15323,19.74608,25.01875,28.28527,33.09189
,,,,N32-2g-15F,86.813187,87.5,91.489362,69.811321,74.074074,68.518519,84.848485,71.875,61.764706,58.33333333,,6.037071,5.492396,6.769043,8.147167,10.53346,14.69882,19.65982,24.96338,30.26373,34.443056
,,,,N32-2g-17F,84.21052632,87.77777778,93.75,84.21052632,75.86206897,77.08333333,80.85106383,78.43137255,70.1754386,77.55102041,,5.499536,5.296396,7.384737,8.713966,11.72331,14.98243,19.68002,24.13763,28.03278,32.23604
,,,,N18-2g-34F,97.14285714,100,90.69767442,100,92.85714286,80,81.25,78.26086957,80.48780488,73.80952381,,8.276425,8.194314,9.053636,10.21592,13.09145,16.5681,20.14902,26.08671,30.87163,34.38198
,,,,N32-2g-21F,86.81318681,74.54545455,65,68.25396825,58.46153846,46.03174603,57.40740741,60.71428571,56.36363636,65.625,,4.836327,5.606927,7.075467,8.976714,11.647831,15.772889,19.704204,23.629982,28.157038,32.377871
,,,,N64-2g-4F,84.94623656,97.72727273,78.57142857,75,80,81.25,72.34042553,66.66666667,66.66666667,64.44444444,,5.517851,5.106,6.528411,7.934643,10.80482,14.28354,19.97411,23.3788,28.13639,33.72169
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ave,87.68881564,88.73316418,85.79109417,80.68632093,79.13386905,69.04785139,74.41811696,73.05018908,68.06248708,67.536312,,6.096520333,6.0760915,7.5765635,8.938312,11.70172517,15.40983483,19.81887567,24.53587533,28.95780633,33.37542117
