Fig9,,,,,,,,,,,,,,,,,,,,F,,,,,,G,,,,,,H,,,,
,,,,C,,,,,,D,,,,,E,,,,,Trials,,,,,,Delay dur,,,,,,Selected/all trials,,,,
,A,B,,%Correct,,,,,,Reversal,,,,,Trials/Reversal,,,,,,,,,,,,,,,,,,,,,
,VD1,VD2,,,,day,,,,,day,,,,,day,,,,Total,,day,,,,All trials,,day,,,,Total,,day,,
ID,days to criteria,days to criteria,,All trials,ID,1,2,3,,ID,1,2,3,,ID,1,2,3,,,ID,1,2,3,,,ID,1,2,3,,,ID,1,2,3
sal1,1,3,,,sal1,51.94805195,65.04065041,62.99212598,,sal1,6,8,7,,sal1,22.33,12.38,17.57,,,sal1,154,123,127,,,sal1,21.18311688,18.07804878,15.62677165,,,sal1,0.194805195,0.235772358,0.338582677
sal2,4,1,,,sal2,57.55395683,63.49206349,55.17241379,,sal2,6,8,7,,sal2,18.17,13.62,17.86,,,sal2,139,126,145,,,sal2,20.31007194,14.52301587,12.99862069,,,sal2,0.258992806,0.531746032,0.468965517
sal3,4,1,,,sal3,64.51,73.39,74.07,,sal3,8,10,8,,sal3,14.5,9.7,9.38,,,sal3,124,109,108,,,sal3,17.09354839,15.99449541,20.06944444,,,sal3,0.14516129,0.394495413,0.453703704
sal4,2,1,,,sal4,59.7,72.73,69.57,,sal4,6,8,10,,sal4,18.7,12.5,11.3,,,sal4,134,110,115,,,sal4,34.51492537,18.09272727,15.0773913,,,sal4,0.044776119,0.181818182,0.313043478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,2.75,1.5,,,Ave,58.4280022,68.66317848,65.45113494,,Ave,6.5,8.5,8,,Ave,18.425,12.05,14.0275,,,Ave,137.75,117,123.75,,,Ave,23.27541565,16.67207183,15.94305702,,,Ave,0.160933853,0.335957996,0.393573844
Sem,0.75,0.5,,,Sem,2.603881497,2.561656671,4.112468013,,Sem,0.5,0.5,0.707106781,,Sem,1.601959737,0.831604874,2.165561417,,,Sem,6.25,4.377975179,8.09706737,,,Sem,3.848300914,0.869510609,1.487340805,,,Sem,0.045188696,0.079349348,0.039590269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibo1,1,5,,,ibo1,45.45454545,59.25925926,60.15037594,,ibo1,4,7,7,,ibo1,37.5,17.71,18.4,,,ibo1,176,135,133,,,ibo1,118.1886364,38.78592593,18.43533835,,,ibo1,0.170454545,0.162962963,0.323308271
ibo2,6,1,,,ibo2,50.63,57.55,54.52,,ibo2,4,5,5,,ibo2,35.75,23.4,17.2,,,ibo2,158,139,147,,,ibo2,28.23670886,23.96978417,24.3414966,,,ibo2,0.139240506,0.158273381,0.244897959
