Fig9,,,,,,,,,,,,,,,,,,,,F,,,,,,G,,,,,,H,,,,
ibo3,1,1,,,ibo3,37.03,50.31,59.26,,ibo3,5,3,8,,ibo3,40.2,39.67,16.5,,,ibo3,216,159,135,,,ibo3,51.41481481,43.00754717,27.83777778,,,ibo3,0.055555556,0.062893082,0.096296296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,2.666666667,2.333333333,,,Ave,44.37151515,55.70641975,57.97679198,,Ave,4.333333333,5,6.666666667,,Ave,37.81666667,26.92666667,17.36666667,,,Ave,183.3333333,144.3333333,138.3333333,,,Ave,65.94672001,35.25441909,23.53820424,,,Ave,0.121750202,0.128043142,0.221500842
Sem,1.666666667,1.333333333,,,Sem,3.963151775,2.742954698,1.747402875,,Sem,0.333333333,1.154700538,0.881917104,,Sem,1.294325221,6.579980581,0.554777233,,,Sem,17.13994684,7.423685817,4.371625683,,,Sem,26.9642944,5.772427577,2.743806709,,,Sem,0.03430198,0.032603148,0.066568706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Selected,ID,,,,,,,,,,,,,,,Correct,,,,,,Selected,,,,,,Correct,,,,
,,,,,sal1,63.33333333,72.4137931,67.44186047,,,,,,,,,,,,,ID,,,,,,ID,,,,,,ID,,,
,,,,,sal2,75,71.64179104,69.11764706,,,,,,,,,,,,,sal1,80,80,80,,,sal1,9.278433333,9.393103448,8.982744186,,,sal1,0.2375,0.2625,0.3625
,,,,,sal3,77.77777778,74.41860465,81.63265306,,,,,,,,,,,,,sal2,80,80,80,,,sal2,9.016527778,8.783880597,8.801485294,,,sal2,0.3375,0.6,0.5875
,,,,,sal4,83.33333333,80,83.33333333,,,,,,,,,,,,,sal3,80,80,80,,,sal3,9.285888889,9.014488372,9.148653061,,,sal3,0.175,0.4,0.5
,,,,,,,,,,,,,,,,,,,,,sal4,80,80,80,,,sal4,9.687,9.198,9.184888889,,,sal4,0.0625,0.2,0.375
,,,,,Ave,74.86111111,74.6185472,75.38137348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sem,4.214997474,1.886841035,4.128985928,,,,,,,,,,,,,Ave,80,80,80,,,Ave,9.3169625,9.097368104,9.029442858,,,Ave,0.203125,0.365625,0.45625
,,,,,,,,,,,,,,,,,,,,,Sem,0,0,0,,,Sem,0.138334992,0.129977447,0.087806586,,,Sem,0.0575939,0.088590673,0.053643305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ibo1,53.33333333,63.63636364,74.41860465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ibo2,68.18181818,59.09090909,58.33333333,,,,,,,,,,,,,ibo1,80,80,80,,,ibo1,8.834966667,9.243772727,9.102581395,,,ibo1,0.2,0.175,0.4
,,,,,ibo3,58.33333333,80,46.15384615,,,,,,,,,,,,,ibo2,80,80,80,,,ibo2,9.384318182,9.093772727,9.203472222,,,ibo2,0.1875,0.1625,0.2625
,,,,,,,,,,,,,,,,,,,,,ibo3,80,80,80,,,ibo3,9.583083333,9.1613,9.141846154,,,ibo3,0.0875,0.1,0.075
,,,,,Ave,59.94949495,67.57575758,59.63526138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sem,4.361894059,6.349189951,8.185259224,,,,,,,,,,,,,Ave,80,80,80,,,Ave,9.267456061,9.166281818,9.149299924,,,Ave,0.158333333,0.145833333,0.245833333
,,,,,,,,,,,,,,,,,,,,,Sem,0,0,0,,,Sem,0.223727664,0.043372856,0.029362157,,,Sem,0.035600016,0.023199018,0.094188788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Incorrect,,,,,,,,,,,,Incorrect,,,,
,,,,,,,,,,,,,,,,,,,,,ID,,,,,,,,,,,,ID,,,
,,,,,,,,,,,,,,,,,,,,,sal1,74,43,47,,,,,,,,,sal1,0.148648649,0.186046512,0.29787234
,,,,,,,,,,,,,,,,,,,,,sal2,59,46,65,,,,,,,,,sal2,0.152542373,0.413043478,0.323076923
,,,,,,,,,,,,,,,,,,,,,sal3,44,29,28,,,,,,,,,sal3,0.090909091,0.379310345,0.321428571
,,,,,,,,,,,,,,,,,,,,,sal4,54,30,35,,,,,,,,,sal4,0.018518519,0.133333333,0.171428571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ave,57.75,37,43.75,,,,,,,,,Ave,0.102654658,0.277933417,0.278451602
,,,,,,,,,,,,,,,,,,,,,Sem,6.25,4.377975179,8.09706737,,,,,,,,,Sem,0.031386143,0.06945286,0.036135778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ibo1,96,55,53,,,,,,,,,ibo1,0.145833333,0.145454545,0.20754717
,,,,,,,,,,,,,,,,,,,,,ibo2,78,59,67,,,,,,,,,ibo2,0.08974359,0.152542373,0.223880597
,,,,,,,,,,,,,,,,,,,,,ibo3,136,79,55,,,,,,,,,ibo3,0.036764706,0.025316456,0.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ave,103.3333333,64.33333333,58.33333333,,,,,,,,,Ave,0.090780543,0.107771125,0.186233498
,,,,,,,,,,,,,,,,,,,,,Sem,17.13994684,7.423685817,4.371625683,,,,,,,,,Sem,0.031489669,0.041278076,0.029855064
