S15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-trial bin,VD1,,,,,,,,,VD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin,,,,,,,,,day1,,,,,,,,,day2,,,,,,,,,day3,,,,,,,,,day4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pre-acquisition,,,,,,,,,acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin,,,,,,,,,day1,,,,,,,,,day2,,,,,,,,,day3,,,,,,,,,day4,,,,,,,,,day5,,,,,,,,,day6,,,,,,,,,day7,,,,,,,
ID,1,2,3,4,5,6,7,8,,1,2,3,4,5,6,7,8,,9,10,11,12,13,14,15,16,,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,33,34,35,36,37,38,39,40,,41,42,43,44,45,46,47,48,,49,50,51,52,53,54,55,56
7goki 190527,60,80,80,70,80,80,50,100,,20,20,20,30,60,40,70,50,,40,50,60,70,50,40,60,60,,30,90,60,40,50,70,60,80,,60,50,50,90,50,70,70,90,,70,70,60,70,70,60,80,100,,70,90,70,50,80,80,60,60,,60,30,60,80,70,70,60,60
10 goki 190615,80,100,90,100,90,90,90,90,,70,50,0,20,20,60,60,50,,30,70,50,60,80,50,70,80,,80,60,70,80,40,70,50,50,,80,60,70,80,70,70,60,70,,50,50,70,50,80,40,60,30,,100,90,70,70,70,70,80,80,,70,40,100,90,50,70,80,70
7 goki 190622,80,70,80,80,70,60,80,90,,30,40,70,50,50,50,40,30,,50,50,80,70,50,30,50,70,,40,70,70,30,30,90,50,50,,40,40,60,80,70,60,70,70,,10,50,60,60,80,50,60,60,,50,60,50,50,70,40,60,70,,60,30,60,60,40,80,60,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,73.33333333,83.33333333,83.33333333,83.33333333,80,76.66666667,73.33333333,93.33333333,,40,36.66666667,30,33.33333333,43.33333333,50,56.66666667,43.33333333,,40,56.66666667,63.33333333,66.66666667,60,40,60,70,,50,73.33333333,66.66666667,50,40,76.66666667,53.33333333,60,,60,50,60,83.33333333,63.33333333,66.66666667,66.66666667,76.66666667,,43.33333333,56.66666667,63.33333333,60,76.66666667,50,66.66666667,63.33333333,,73.33333333,80,63.33333333,56.66666667,73.33333333,63.33333333,66.66666667,70,,63.33333333,33.33333333,73.33333333,76.66666667,53.33333333,73.33333333,66.66666667,70
Sem,6.666666667,8.819171037,3.333333333,8.819171037,5.773502692,8.819171037,12.01850425,3.333333333,,15.27525232,8.819171037,20.81665999,8.819171037,12.01850425,5.773502692,8.819171037,6.666666667,,5.773502692,6.666666667,8.819171037,3.333333333,10,5.773502692,5.773502692,5.773502692,,15.27525232,8.819171037,3.333333333,15.27525232,5.773502692,6.666666667,3.333333333,10,,11.54700538,5.773502692,5.773502692,3.333333333,6.666666667,3.333333333,3.333333333,6.666666667,,17.63834207,6.666666667,3.333333333,5.773502692,3.333333333,5.773502692,6.666666667,20.2758751,,14.52966315,10,6.666666667,6.666666667,3.333333333,12.01850425,6.666666667,5.773502692,,3.333333333,3.333333333,13.33333333,8.819171037,8.819171037,3.333333333,6.666666667,5.773502692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10goki 190522,60,90,80,80,50,90,80,90,,60,40,60,10,50,10,60,60,,40,40,50,30,70,50,70,60,,60,40,60,60,50,50,60,50,,40,40,50,60,90,70,40,90,,60,60,60,50,40,50,40,70,,60,60,50,60,40,60,60,70,,70,70,60,70,30,50,70,70
6goki 190603,90,90,80,80,80,100,100,100,,60,50,40,50,60,60,60,20,,70,40,70,80,40,40,40,80,,70,50,60,70,80,80,50,70,,70,70,70,60,80,40,40,50,,60,40,90,60,80,50,50,50,,80,60,80,70,40,80,40,60,,40,60,50,60,50,40,70,60
9 goki 190603,100,100,100,90,100,100,100,100,,90,60,50,70,40,40,40,80,,70,40,80,70,60,60,40,80,,60,90,60,70,40,60,20,30,,60,50,50,40,60,40,,,,40,70,30,60,70,60,40,50,,50,60,40,50,60,40,50,40,,90,50,60,80,50,80,40,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,83.33333333,93.33333333,86.66666667,83.33333333,76.66666667,96.66666667,93.33333333,96.66666667,,70,50,50,43.33333333,50,36.66666667,53.33333333,53.33333333,,60,40,66.66666667,60,56.66666667,50,50,73.33333333,,63.33333333,60,60,66.66666667,56.66666667,63.33333333,43.33333333,50,,56.66666667,53.33333333,56.66666667,53.33333333,76.66666667,50,40,70,,53.33333333,56.66666667,60,56.66666667,63.33333333,53.33333333,43.33333333,56.66666667,,63.33333333,60,56.66666667,60,46.66666667,60,50,56.66666667,,66.66666667,60,56.66666667,70,43.33333333,56.66666667,60,66.66666667
Sem,12.01850425,3.333333333,6.666666667,3.333333333,14.52966315,3.333333333,6.666666667,3.333333333,,10,5.773502692,5.773502692,17.63834207,5.773502692,14.52966315,6.666666667,17.63834207,,10,0,8.819171037,15.27525232,8.819171037,5.773502692,10,6.666666667,,3.333333333,15.27525232,0,3.333333333,12.01850425,8.819171037,12.01850425,11.54700538,,8.819171037,8.819171037,6.666666667,6.666666667,8.819171037,10,0,20,,6.666666667,8.819171037,17.32050808,3.333333333,12.01850425,3.333333333,3.333333333,6.666666667,,8.819171037,0,12.01850425,5.773502692,6.666666667,11.54700538,5.773502692,8.819171037,,14.52966315,5.773502692,3.333333333,5.773502692,6.666666667,12.01850425,10,3.333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,F,,,,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VD1,VD2,,,,pre-acquisition,acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,day,,,,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,1,2,3,4,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7goki 190527,197,196,120,175,142,105,178,138,131,115,113,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 goki 190615,182,182,144,139,113,87,170,137,135,120,133,102,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 goki 190622,191,138,137,134,127,105,178,156,143,139,144,143,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,190,172,133.6666667,149.3333333,127.3333333,99,175.3333333,143.6666667,136.3333333,124.6666667,130,119.3333333,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
