Fig10,A,B,,,C,,,,,,D,,,,,,,,,E,,,,,F,,,,,G,,,,,,H,,,,,,I,,,,
,,,,,%Correct,,,,,,,%Correct,,,,,,,,Reversal num,,,,,Trials/reversal,,,,,Trials,,,,,,Actual Delay,,,,,,Trials,,,,
,Days for criteria,Days for criteria,,,,,day,,,,,Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NLGF #6 83,50.684932,58.536585,56.521739,,,,,,,,,,,,,,,,,,,,,,NLGF #6 83,89,112,108,,,NLGF #6 83,15.219178,15.365854,14.945652,,,NLGF #6 83,0.415730337,0.428571429,0.481481481
,,,,,,NLGF #6 115,36.893204,57.627119,59.354839,,,,,,,,,,,,,,,,,,,,,,NLGF #6 115,121,149,149,,,NLGF #6 115,14.896774,14.427184,13.220339,,,NLGF #6 115,0.628099174,0.684563758,0.617449664
,,,,,,NLGF rcrs,38.297872,45.901639,51.485149,,,,,,,,,,,,,,,,,,,,,,NLGF rcrs,67,62,86,,,NLGF rcrs,13.329787,14.918033,14.742574,,,NLGF rcrs,0.537313433,0.451612903,0.604651163
,,,,,,NLGF lc,47.826087,50,50.993377,,,,,,,,,,,,,,,,,,,,,,NLGF lc,97,98,105,,,NLGF lc,13.347826,13.734375,13.390728,,,NLGF lc,0.567010309,0.653061224,0.733333333
,,,,,,NLGF lcrs,41.333333,52.205882,52.980132,,,,,,,,,,,,,,,,,,,,,,NLGF lcrs,106,97,109,,,NLGF lcrs,14.073333,14.713235,14.218543,,,NLGF lcrs,0.58490566,0.731958763,0.733944954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ave,44.99947186,52.49522243,54.27394443,,,,,,,,,,,,,,,,,,,,,,Ave,102.2857143,106.1428571,113.1428571,,,Ave,14.24743729,14.660207,14.13555286,,,Ave,0.563425493,0.57860187,0.648382509
,,,,,,Sem,2.337093697,1.880417129,1.575060264,,,,,,,,,,,,,,,,,,,,,,Sem,7.424907521,9.993875676,9.090624609,,,Sem,0.277901976,0.204599788,0.261415734,,,Sem,0.027706052,0.043864836,0.036536707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,WT lrc,129,96,108,,,,,,,,Incorrect,WT lrc,0.596899225,0.677083333,0.62037037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT #2,99,61,84,,,,,,,,,WT #2,0.939393939,0.737704918,0.738095238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT #6,125,100,112,,,,,,,,,WT #6,0.664,0.76,0.5625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT qnt #6,114,121,89,,,,,,,,,WT qnt #6,0.815789474,0.867768595,0.876404494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT qnt #39,99,114,107,,,,,,,,,WT qnt #39,0.808080808,0.763157895,0.803738318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT qnt #33,124,109,122,,,,,,,,,WT qnt #33,0.629032258,0.633027523,0.704918033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT qtn 2nd #2,88,83,55,,,,,,,,,WT qtn 2nd #2,0.454545455,0.698795181,0.527272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ave,111.1428571,97.71428571,96.71428571,,,,,,,,,Ave,0.70110588,0.733933921,0.690471312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem,6.005666259,7.72662153,8.545994009,,,,,,,,,Sem,0.061644079,0.028497386,0.048255739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF #30,119,114,99,,,,,,,,,NLGF #30,0.714285714,0.543859649,0.595959596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF M #7,118,112,116,,,,,,,,,NLGF M #7,0.508474576,0.482142857,0.629310345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF #6 83,89,112,108,,,,,,,,,NLGF #6 83,0.404494382,0.303571429,0.37037037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF #6 115,177,124,108,,,,,,,,,NLGF #6 115,0.734463277,0.60483871,0.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF rcrs,107,56,84,,,,,,,,,NLGF rcrs,0.542056075,0.589285714,0.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF lc,94,88,106,,,,,,,,,NLGF lc,0.638297872,0.727272727,0.698113208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF lcrs,137,94,118,,,,,,,,,NLGF lcrs,0.642335766,0.691489362,0.601694915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ave,120.1428571,100,105.5714286,,,,,,,,,Ave,0.597772523,0.563208635,0.580302157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem,11.2851115,8.695921321,4.319706465,,,,,,,,,Sem,0.044807195,0.053484215,0.038133157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin (10 trials),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,,13,14,15,16,17,18,19,20,21,22,23,,25,26,27,28,29,30,31,32,33,34,35,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT lrc,70,55,70,55,75,65,50,60,45,50,80,,70,56,73,60,66,66,53,56,46,50,80,,70,40,70,40,80,50,60,70,50,40,90,,,,,,,,,,,
WT #2,70,50,50,50,10,50,70,90,50,60,70,,60,80,70,10,10,70,50,80,60,70,30,,70,70,50,50,60,70,70,50,40,70,70,,,,,,,,,,,
WT #6,20,40,60,40,40,50,50,70,40,60,70,,80,60,70,30,60,80,80,30,70,60,40,,30,40,40,80,60,70,60,70,60,50,70,,,,,,,,,,,
WT qnt #6,80,30,30,80,40,80,50,60,70,80,60,,60,70,50,20,30,80,80,70,0,20,50,,30,80,60,50,60,80,50,60,70,50,80,,,,,,,,,,,
WT qnt #39,80,80,60,80,40,90,50,40,80,60,60,,70,60,60,80,20,70,80,70,70,40,70,,70,60,80,50,60,70,80,70,30,50,70,,,,,,,,,,,
WT qnt #33,80,20,30,50,60,40,50,70,30,70,50,,80,40,10,70,90,70,40,60,60,50,90,,70,40,90,80,90,60,60,40,30,60,50,,,,,,,,,,,
WT qtn 2nd #2,40,60,40,10,40,60,70,60,50,50,40,,30,80,60,50,50,50,60,60,60,80,60,,50,60,60,70,20,60,30,60,60,70,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
