Fig6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,B,,,,C,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,,,delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correct%,,1,2,3,4,,Correct%,,1,2,3,5,8,12,16,20,,,,,,,,,,,,,,,,,,,,,,,
10goki 190522,37.03703704,48,63,71,82,71.42857143,71.42857143,45.19774011,55.55555556,56.33802817,56.33802817,61.06870229,57.55395683,57.55395683,,,10goki 190522,59.15492958,56.71641791,50.66666667,47.2972973,45,41.55844156,46.83544304,40,53.42465753,,,,10goki 190522,9.070423,11.567164,13.933333,24.959459,25.866667,163.597403,33.835443,41.125,49.328767,
6goki 190603,38.97435897,44,50,87,82,90.90909091,90.90909091,50.66666667,59.70149254,66.11570248,59.25925926,58.39416058,63.49206349,54.42176871,,,6goki 190603,83.07692308,43.33333333,43.90243902,46.66666667,43.28358209,43.20987654,41.30434783,35.8974359,36.17021277,,,,6goki 190603,75.973333,19.483333,16.5,35.52,18.059701,71.604938,22.057692,182.564706,185.042553,
9 goki 190603,44.44444444,57,71,80,86,98.7654321,98.7654321,55.94405594,56.73758865,60.15037594,50.95541401,55.55555556,60.60606061,80.80808081,,,9 goki 190603,86.44067797,53.7037037,48.52941176,44.70588235,41.42857143,50,45.45454545,28.57142857,39.39393939,,,,9 goki 190603,4.946429,8.814815,10.691176,39.964706,28.928571,36.064516,31.418182,94.742857,130.69697,
Ave,40.15194682,49.66666667,61.33333333,79.33333333,83.33333333,87.03436481,87.03436481,50.60282091,57.33154558,60.86803553,55.51756715,58.33947281,60.55069364,64.26126878,,,Ave,76.22417687,51.25115165,47.69950582,46.22328211,43.23738451,44.9227727,44.53144544,34.82295482,42.9962699,,,,Ave,29.99672833,13.28843733,13.70816967,33.48138833,24.28497967,90.42228567,29.10377233,106.1441877,121.68943,
Sem,2.217916137,3.844187532,6.119186584,4.630814663,1.333333333,8.125804874,8.125804874,3.102358414,1.23312435,2.845288808,2.431962766,1.591743258,1.714407263,8.322667676,,,Sem,8.58968595,4.053311275,1.996267501,0.780235062,1.031241351,2.582988396,1.662060848,3.342600954,5.296588678,,,,Sem,23.01910775,3.197728647,1.680638069,4.449955525,3.235706254,37.99881027,3.591481762,41.2261663,39.43522013,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Selected,ID,1,2,3,5,8,12,16,20,24,,,Selected,ID,1,2,3,5,8,12,16,20,24,
,,,,,,,,,,,,,,,,,7goki 190527,87.234043,68.421053,82.352941,61.702128,61.538462,54.347826,44,56.25,47.368421,,,,7goki 190527,6.978723,8.789474,9.088235,12.617021,15.410256,20.413043,25.52,29.6875,35.631579,
,,,,,,,,,,,,,,,,,10 goki 190615,90,73.333333,64.285714,51.666667,54.385965,69.090909,69.811321,66.666667,56.756757,,,,10 goki 190615,6.857143,7.377778,8,11.116667,14.438596,18.745455,23.320755,28.452381,32.216216,
