S14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse 2,80,100,100,100,100,100,90,80,,40,70,20,50,20,70,70,10,,60,60,60,100,70,60,40,70,,50,70,60,50,60,60,50,70,,90,50,100,70,90,90,70,80,,60,90,90,70,70,80,60,70,,60,70,70,80,70,60,40,80,,80,70,60,80,80,90,60,80,,90,70,80,50,90,60,80,70,,80,60,40,70,50,60,60,70,,70,60,90,90,70,50,40,60,,70,20,60,50,0,60,80,60,,80,80,50,70,60,50,60,50,,60,60,60,30,70,50,60,50
Mouse 3,70,90,80,100,100,90,100,100,,60,40,30,50,80,70,60,40,,70,70,50,60,50,50,60,60,,60,70,40,50,60,80,70,70,,90,60,90,60,50,80,80,90,,80,90,80,80,60,80,60,70,,50,60,70,80,80,70,60,70,,70,70,80,70,70,40,70,40,,50,80,80,60,60,50,40,60,,60,60,80,70,50,40,60,80,,40,80,70,40,80,60,30,30,,60,60,50,60,70,70,,,,40,50,70,40,80,50,70,30,,60,70,40,50,50,40,60,30
Mouse 4,90,90,100,100,90,100,90,90,,40,50,50,30,50,80,40,70,,70,50,70,60,40,80,90,60,,60,90,70,80,100,60,70,90,,90,80,80,70,70,80,80,80,,70,100,80,90,80,90,80,100,,80,90,70,80,80,70,80,90,,70,70,80,80,80,90,90,90,,50,80,80,70,60,60,80,80,,80,80,70,60,70,70,70,80,,60,70,60,80,60,60,90,90,,40,70,60,70,70,60,90,70,,50,70,70,70,80,40,80,90,,70,60,50,60,20,80,50,60
Ave,85,92.5,85,97.5,95,97.5,95,92.5,,45,50,40,45,52.5,65,52.5,47.5,,67.5,65,67.5,70,52.5,60,62.5,60,,60,70,60,65,72.5,62.5,57.5,70,,80,62.5,87.5,60,65,75,77.5,77.5,,70,92.5,85,80,70,77.5,60,80,,65,75,70,70,72.5,65,65,82.5,,70,77.5,77.5,72.5,75,75,77.5,72.5,,62.5,75,82.5,60,65,65,67.5,72.5,,70,65,60,67.5,62.5,55,67.5,70,,60,55,70,65,75,62.5,62.5,65,,52.5,55,50,62.5,50,62.5,83.33333333,60,,52.5,57.5,62.5,67.5,70,57.5,70,60,,60,60,50,47.5,45,57.5,55,47.5
Sem,6.454972244,2.5,9.574271078,2.5,2.886751346,2.5,2.886751346,4.787135539,,5,7.071067812,9.128709292,5,12.5,8.660254038,7.5,14.36140662,,2.5,6.454972244,8.539125638,10,6.291528696,7.071067812,10.30776406,4.082482905,,4.082482905,8.164965809,7.071067812,8.660254038,9.464847243,6.291528696,7.5,8.164965809,,10,6.291528696,4.787135539,7.071067812,9.574271078,8.660254038,2.5,6.291528696,,4.082482905,2.5,2.886751346,4.082482905,4.082482905,6.291528696,8.164965809,7.071067812,,6.454972244,6.454972244,0,10,4.787135539,2.886751346,9.574271078,4.787135539,,4.082482905,7.5,6.291528696,4.787135539,2.886751346,11.90238071,7.5,11.08677891,,9.464847243,2.886751346,2.5,4.082482905,8.660254038,8.660254038,9.464847243,4.787135539,,5.773502692,5,9.128709292,2.5,7.5,6.454972244,4.787135539,7.071067812,,7.071067812,15.54563176,7.071067812,11.90238071,6.454972244,6.291528696,16.00781059,13.22875656,,7.5,11.90238071,7.071067812,4.787135539,16.83250823,2.5,3.333333333,5.773502692,,9.464847243,11.08677891,4.787135539,10.30776406,5.773502692,11.08677891,4.082482905,12.90994449,,4.082482905,4.082482905,4.082482905,6.291528696,10.40833,8.539125638,2.886751346,6.291528696
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,G,,,,,H,,I,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
