Fig9,A,B,,C,,,,,,D,,,,,E,,,,,F,,,,,,G,,,,,,H,,,,
,VD1,VD2,,%Correct,,,,,,Reversal,,,,,Trials/Reversal,,,,,Trials,,,,,,Delay dur,,,,,,Selected/all trials,,,,
ID,days to criteria,days to criteria,,,,day,,,,,day,,,,,day,,,,,,,,,,,,,,,,,,,,
Ibo4,1,3,,All trials,ID,1,2,3,,ID,1,2,3,,ID,1,2,3,,Total,,day,,,,All trials,,day,,,,Total,,day,,
,,,,,,,,,,,,,,,,,,,,,Ave,80,80,80,,,Ave,9.267456061,9.166281818,9.149299924,,,Ave,0.158333333,0.145833333,0.245833333
,,,,,,,,,,,,,,,,,,,,,Sem,0,0,0,,,Sem,0.223727664,0.043372856,0.029362157,,,Sem,0.035600016,0.023199018,0.094188788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Incorrect,,,,,,,,,,,,Incorrect,,,,
,,,,,,,,,,,,,,,,,,,,,ID,,,,,,,,,,,,ID,,,
,,,,,,,,,,,,,,,,,,,,,Ibo4,74,43,47,,,,,,,,,Ibo4,0.148648649,0.186046512,0.29787234
,,,,,,,,,,,,,,,,,,,,,Ibo3,59,46,65,,,,,,,,,Ibo3,0.152542373,0.413043478,0.323076923
,,,,,,,,,,,,,,,,,,,,,Ibo7,44,29,28,,,,,,,,,Ibo7,0.090909091,0.379310345,0.321428571
,,,,,,,,,,,,,,,,,,,,,Ibo8,54,30,35,,,,,,,,,Ibo8,0.018518519,0.133333333,0.171428571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ave,57.75,37,43.75,,,,,,,,,Ave,0.102654658,0.277933417,0.278451602
,,,,,,,,,,,,,,,,,,,,,Sem,6.25,4.377975179,8.09706737,,,,,,,,,Sem,0.031386143,0.06945286,0.036135778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ibo2,96,55,53,,,,,,,,,Ibo2,0.145833333,0.145454545,0.20754717
,,,,,,,,,,,,,,,,,,,,,Ibo5,78,59,67,,,,,,,,,Ibo5,0.08974359,0.152542373,0.223880597
,,,,,,,,,,,,,,,,,,,,,Ibo6,136,79,55,,,,,,,,,Ibo6,0.036764706,0.025316456,0.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ave,103.3333333,64.33333333,58.33333333,,,,,,,,,Ave,0.090780543,0.107771125,0.186233498
,,,,,,,,,,,,,,,,,,,,,Sem,17.13994684,7.423685817,4.371625683,,,,,,,,,Sem,0.031489669,0.041278076,0.029855064
